GPU,RX 7800 XT,AMD,529.99,2023,2430,16,
GPU,RTX 4060 Ti,GeForce,399.99,2023,2535,8,
CPU,Ryzen 7 7800X3D,AMD,382.11,2023,4200,
CPU,i9-14900K,Intel,599.99,2023,6000,
RAM,Trident Z5,G.SKILL,112.99,2022,32,
RAM,VENGEANCE LPX,Corsair,49.99,2019,16,
Motherboard,B550 GEN3,MSI,99.99,2020,4,
Motherboard,Z790-Plus,ASUS,228.18,2022,4,
Power Supply,RM750X,Corsair,170.98,2019,Gold,
Power Supply,100-N1-0650-L1,EVGA,64.99,2016,Silver,
Storage Device,990 PRO w/ Heatsink,Samsung,169.99,2022,SSD,2,
